mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	group	country
0.961819321375	0.9613125	0.0259548316792805	0.0262405373999999	0.91997345	1.0058	0.999949670044582	11033.8948138687	6521.16252048026	BA.1.1	Austria
1.150471855	1.150415	0.00510983330290949	0.00509273100000011	1.1420695	1.158901	1.00154633152442	13459.8076006436	6167.43232632361	BA.1.1	Denmark
1.0529996675	1.05297	0.00267126422242578	0.00266868000000004	1.04866	1.05744	0.999966419444711	9900.8653681845	6046.70740118868	BA.1.1	Germany
1.05846422625	1.05821	0.0130108313317329	0.0131210099999997	1.0371995	1.08004	1.00003321233697	8535.19331656223	6565.18805914878	BA.1.1	India
1.07369315	1.07365	0.00526788101125999	0.0054114899999999	1.0650595	1.0824405	0.999970220144847	10922.688457412	5557.46435773967	BA.1.1	Israel
1.084515310875	1.082495	0.0389534415310781	0.037717344	1.0247295	1.151984	1.00001617159803	9072.44806335232	5278.17429135911	BA.1.1	Philippines
1.16306768125	1.16303	0.0137145325079325	0.014025396	1.1410775	1.1860205	1.00034097734275	9139.75411077994	6984.31724255408	BA.1.1	Singapore
1.0344942075	1.03453	0.00847206437247057	0.00834703800000004	1.02074	1.0486405	1.00094788662261	11779.6160007166	6388.26282978782	BA.1.1	South Africa
1.04972347	1.049755	0.00811469680407887	0.008191365	1.03661	1.0632005	1.00131440427306	10228.1865996882	6097.02489824409	BA.1.1	Sweden
1.104156355	1.10417	0.0009059806919034	0.000904385999999999	1.10266	1.10565	1.00013112520968	12357.7792444294	6022.69586432113	BA.1.1	United Kingdom
1.04107474125	1.04109	0.000861934016807323	0.000859908000000037	1.03963	1.04249	1.00028929011796	12472.4045149162	6145.84812550136	BA.1.1	USA
1.47432659625	1.469935	0.0613685432861586	0.0596375849999999	1.379745	1.5811605	1.00018698639794	11435.2156431832	5301.34988364491	BA.2	Austria
1.2762197575	1.27617	0.00331657095077924	0.00332102400000003	1.27085	1.28168	1.00090309833135	10187.2558610572	6010.58915651299	BA.2	Denmark
1.27490056875	1.27479	0.0142712618206404	0.014403459	1.2518585	1.2986	1.00032166681334	13349.0086059867	6157.62035280031	BA.2	Germany
1.3626386925	1.3626	0.0173470638176416	0.017027661	1.3339995	1.3912345	1.00002041780532	8012.85267803865	6182.7813258907	BA.2	India
1.4336570225	1.43206	0.0373718254936401	0.0367240019999999	1.3745595	1.497435	0.999798804384349	13514.744739772	6073.91899987785	BA.2	Israel
2.372466475	2.36191	0.147445151932856	0.14633262	2.143207	2.630295	1.00146991676968	10973.8989236987	5466.48979420854	BA.2	Philippines
1.48944175125	1.488705	0.0328869315732581	0.0336327809999998	1.4368195	1.543842	0.999950535567213	9632.12642371014	6344.04322128368	BA.2	Singapore
1.24158728875	1.24128	0.0157643784888674	0.0154042139999999	1.2159795	1.26804	0.999830132028398	12509.9466996022	4273.58210455608	BA.2	South Africa
1.1907416975	1.190655	0.0143918380269414	0.0146110229999999	1.1671785	1.2150305	1.00109289342462	11827.9858434795	6082.78526871117	BA.2	Sweden
1.48830103625	1.488195	0.0097662844676327	0.00968879099999994	1.47239	1.50454	1.00001966086727	11906.6445452569	5879.2277177447	BA.2	United Kingdom
1.48172871875	1.48096	0.028467280657439	0.0280656180000002	1.435979	1.5304005	0.999789616746491	11655.7774400838	5641.60820767069	BA.2	USA
0.761803067125	0.761887	0.0113853107559036	0.0111647193	0.74280285	0.7801803	1.0015078616634	11751.7123687373	5874.9629201191	Delta	Austria
0.645736179375	0.6457385	0.00196154402724511	0.00198816659999997	0.64249985	0.64894525	0.999965157513326	11368.3499987572	6186.4975773816	Delta	Denmark
0.76172933225	0.761706	0.0014812557365052	0.00149446080000001	0.7593536	0.7642241	1.00090349254771	9782.03898541123	6440.43923781029	Delta	Germany
0.693514869875	0.6935	0.00729581038970982	0.00723286410000001	0.68158405	0.70558405	1.0001299721933	9152.68337673076	5949.79425020276	Delta	India
0.66609472925	0.666154	0.00490722331499977	0.0048792365999999	0.65787285	0.67401405	0.999870186857721	13275.966738996	6286.09147938629	Delta	Israel
0.755105072875	0.7569905	0.0367618461116414	0.0373400223	0.6915557	0.8122183	1.00182914910759	10323.6988497914	6442.42024876854	Delta	Philippines
0.807813289125	0.807833	0.00743900306138868	0.00745154759999996	0.7953509	0.819871	1.00062371016497	11058.3961785478	5804.69205613254	Delta	Singapore
0.639466651	0.6395585	0.012506339128438	0.0124160337	0.6187005	0.65974755	1.00041627567194	14110.4655809501	6045.3268156767	Delta	South Africa
0.724608504375	0.724609	0.00454131882637811	0.00459235349999988	0.7170767	0.73196915	1.00069218244052	11044.4578463937	6132.55629433518	Delta	Sweden
0.612896704625	0.612892	0.000916929783384238	0.000919211999999932	0.611376	0.61439	1.00035634894185	10801.8592856398	5976.77354039646	Delta	United Kingdom
0.631111546875	0.631123	0.000868033506740285	0.000855460199999991	0.629666	0.63251205	1.00011169902678	12468.2576287683	5317.77084580262	Delta	USA
